id,type,ticket_type,attraction,wait_at_attraction,ride_duration,satisfaction_status,fatigue,time,day,time_of_entry,time_left,entered_park,attractions_visited_so_far
V0012,child,online,Petting Zoo,11.15,5.5,85,1,26.4,Monday,1.91,121.93,True,2
V0201,child,online,Carousel,6.81,4.3,98,0,26.61,Monday,14.68,217.07,True,1
V0158,child,online,Fun House,10.09,4.5,96,0,27.91,Monday,11.91,261.06,True,1
V0318,adult,online,Go Karts,0,5.0,100,0,28.09,Monday,21.95,161.85,True,1
V0045,adult,online,Flying Chairs,18.78,4.0,94,0,28.16,Monday,3.9,310.56,True,1
V0320,adult,online,Observation Tower,0,5.0,100,0,28.68,Monday,22.27,205.5,True,1
V0194,adult,online,Haunted House,0,4.0,94,1,28.78,Monday,14.31,121.21,True,2
V0043,adult,online,Mirror Maze,13.57,4.2,91,1,29.13,Monday,3.87,150.99,True,2
V0191,adult,online,4D Cinema,0,6.0,90,1,29.19,Monday,13.5,155.96,True,2
V0082,adult,online,Pirate Ship,17.1,4.7,94,0,29.34,Monday,6.71,172.56,True,1
V0173,child,online,Swing Ride,12.45,4.2,96,0,29.82,Monday,12.53,177.53,True,1
V0250,child,online,Ferris Wheel,5.61,6.0,98,0,29.94,Monday,17.74,342.49,True,1
V0093,adult,online,Bumper Cars,18.48,3.5,94,0,30.13,Monday,7.65,196.05,True,1
V0007,child,online,Ball Pit,12.39,4.0,82,1,30.2,Monday,1.29,184.11,True,2
V0022,child,online,Mini Train,12.06,6.5,82,1,30.82,Monday,2.7,353.92,True,2
V0262,adult,online,Ferris Wheel,5.76,6.0,98,0,31.06,Monday,17.85,150.37,True,1
V0027,adult,ticket_office,Drop Tower,3.02,5.8,80,0,31.09,Monday,21.35,155.51,True,1
V0047,adult,online,Water Slide,3.1,4.5,78,2,32.04,Monday,4.55,284.22,True,3
V0239,child,online,Carousel,9.74,4.3,98,0,32.07,Monday,16.87,182.66,True,1
V0141,child,online,Petting Zoo,16.17,5.5,94,0,32.52,Monday,10.23,202.22,True,1
V0181,child,online,Fun House,14.52,4.5,96,0,32.99,Monday,13.39,320.54,True,1
V0069,adult,online,Flying Chairs,21.9,4.0,92,0,33.53,Monday,6.26,173.02,True,1
V0006,adult,ticket_office,Go Karts,3.74,5.0,83,2,33.82,Monday,6.18,313.42,True,3
V0401,adult,online,Roller Coaster,0,5.5,100,0,34.38,Monday,28.36,337.14,True,1
V0179,child,online,Mirror Maze,16.3,4.2,94,0,34.38,Monday,12.84,205.89,True,1
V0101,child,online,Pirate Ship,21.46,4.7,92,0,34.57,Monday,7.87,150.28,True,1
V0098,adult,online,Bumper Cars,22.43,3.5,92,0,34.69,Monday,7.7,169.74,True,1
V0195,child,online,Ball Pit,16.13,4.0,94,0,35.01,Monday,14.07,256.75,True,1
V0204,child,online,Swing Ride,15.2,4.2,94,0,35.05,Monday,14.62,343.58,True,1
V0376,adult,online,Observation Tower,2.01,5.0,100,0,35.15,Monday,26.67,251.33,True,1
V0319,adult,online,4D Cinema,7.25,6.0,98,0,35.8,Monday,21.94,130.53,True,1
V0270,adult,online,Ferris Wheel,11.32,6.0,96,0,36.5,Monday,18.62,268.3,True,1
V0102,child,online,Carousel,15.02,4.3,85,1,37.68,Monday,8.27,248.23,True,2
V0114,adult,online,Drop Tower,5.62,5.8,79,2,37.76,Monday,9.98,413.92,True,3
V0402,adult,online,Water Slide,3.46,4.5,100,0,37.99,Monday,28.59,222.69,True,1
V0064,adult,online,Fun House,19.47,4.5,82,1,38.01,Monday,5.78,328.9,True,2
V0000,child,online,Ferris Wheel,11.64,6.0,74,2,38.44,Monday,0.81,106.24,True,3
V0182,child,online,Flying Chairs,20.41,4.0,92,0,38.69,Monday,13.12,411.94,True,1
V0487,adult,online,Haunted House,0,4.0,100,0,38.71,Monday,34.01,210.73,True,1
V0127,adult,online,Petting Zoo,22.07,5.5,92,0,38.79,Monday,10.45,140.57,True,1
V0165,child,online,Mini Train,18.8,6.5,94,0,38.8,Monday,12.01,148.92,True,1
V0213,child,online,Mirror Maze,18.92,4.2,94,0,39.29,Monday,15.46,231.95,True,1
V0008,child,online,Bumper Cars,26.96,3.5,85,1,39.42,Monday,1.1,293.81,True,2
V0077,adult,online,Go Karts,9.01,5.0,80,1,39.54,Monday,6.33,325.96,True,2
V0103,adult,online,Pirate Ship,25.82,4.7,90,0,39.78,Monday,8.74,310.65,True,1
V0086,child,online,Ball Pit,18.96,4.0,88,1,40.23,Monday,7.03,308.35,True,2
V0243,child,online,Swing Ride,17.56,4.2,94,0,40.35,Monday,17.48,172.64,True,1
V0417,adult,online,Roller Coaster,5.25,5.5,98,0,40.44,Monday,29.13,397.13,True,1
V0003,adult,ticket_office,Observation Tower,5.82,5.0,73,2,41.56,Monday,3.92,114.08,True,3
V0025,child,ticket_office,Carousel,20.37,4.3,92,0,42.55,Monday,17.31,427.21,True,1
V0511,adult,online,4D Cinema,0,6.0,100,0,42.73,Monday,36.18,354.65,True,1
V0319,adult,online,Laser Maze,0,3.8,88,1,43.31,Monday,21.94,130.53,True,2
V0202,child,online,Fun House,23.3,4.5,92,0,43.55,Monday,14.71,369.13,True,1
V0411,adult,online,Water Slide,9.26,4.5,98,0,43.8,Monday,28.74,286.15,True,1
V0015,child,ticket_office,Bumper Cars,30.92,3.5,88,0,43.83,Monday,8.5,275.69,True,1
V0021,adult,ticket_office,Ferris Wheel,16.57,6.0,89,1,43.96,Monday,14.06,149.56,True,2
V0238,adult,online,Flying Chairs,21.81,4.0,92,0,44.06,Monday,16.88,193.19,True,1
V0223,adult,online,Mirror Maze,23.22,4.2,92,0,44.35,Monday,16.07,316.98,True,1
V0114,adult,online,Haunted House,0,4.0,72,3,44.53,Monday,9.98,413.92,True,4
V0392,adult,online,Drop Tower,10.55,5.8,96,0,44.6,Monday,27.21,437.9,True,1
V0228,child,online,Ball Pit,23.8,4.0,92,0,44.75,Monday,16.43,333.23,True,1
V0302,child,online,Ferris Wheel,17.76,6.0,94,0,45.07,Monday,20.68,351.62,True,1
V0539,adult,online,Virtual Reality Zone,0,6.5,100,0,45.33,Monday,37.42,240.52,True,1
V0360,adult,online,Go Karts,14.32,5.0,96,0,45.5,Monday,25.22,392.96,True,1
V0156,child,online,Petting Zoo,27.62,5.5,90,0,45.54,Monday,11.17,407.19,True,1
V0108,child,online,Swing Ride,22.01,4.2,78,1,45.71,Monday,9.07,217.39,True,2
V0180,child,online,Mini Train,25.52,6.5,90,0,45.94,Monday,13.28,274.02,True,1
V0107,adult,online,Pirate Ship,31.03,4.7,88,0,45.97,Monday,8.76,178.4,True,1
V0318,adult,online,Roller Coaster,10.35,5.5,81,1,46.62,Monday,21.95,161.85,True,2
V0271,child,online,Carousel,24.18,4.3,92,0,47.75,Monday,18.37,19.22,True,1
V0436,adult,online,Observation Tower,11.09,5.0,96,0,47.79,Monday,30.47,169.56,True,1
V0157,child,online,Bumper Cars,31.81,3.5,88,0,48.13,Monday,12.01,151.03,True,1
V0559,adult,online,Laser Maze,4.19,3.8,100,0,48.19,Monday,39.12,233.13,True,1
V0035,child,online,Fun House,24.96,4.5,75,1,49.17,Monday,2.97,117.86,True,2
V0066,child,online,Mirror Maze,25.36,4.2,75,1,49.3,Monday,5.59,158.69,True,2
V0003,adult,ticket_office,Haunted House,0.96,4.0,60,3,49.42,Monday,3.92,114.08,True,4
V0365,child,online,Ball Pit,19.54,4.0,94,0,49.48,Monday,25.21,475.44,True,1
V0043,adult,online,Water Slide,11.67,4.5,74,2,49.48,Monday,3.87,150.99,True,3
V0127,adult,online,4D Cinema,2.95,6.0,83,1,49.5,Monday,10.45,140.57,True,2
V0313,child,online,Flying Chairs,22.63,4.0,92,0,49.54,Monday,21.43,392.52,True,1
V0055,adult,online,Ferris Wheel,17.59,6.0,82,2,50.87,Monday,5.03,141.47,True,3
V0268,adult,online,Swing Ride,27.32,4.2,90,0,51.38,Monday,18.4,434.27,True,1
V0093,adult,online,Go Karts,14.37,5.0,76,1,51.39,Monday,7.65,196.05,True,2
V0014,adult,online,Pirate Ship,36.63,4.7,76,1,51.43,Monday,1.85,151.79,True,2
V0018,adult,online,Drop Tower,16.51,5.8,70,2,51.88,Monday,2.44,176.41,True,3
V0383,child,online,Ferris Wheel,17.35,6.0,94,0,51.89,Monday,27.72,164.43,True,1
V0169,child,online,Petting Zoo,32.97,5.5,88,0,52.28,Monday,12.56,256.62,True,1
V0196,child,online,Bumper Cars,34.26,3.5,88,0,52.4,Monday,13.86,180.02,True,1
V0411,adult,online,Virtual Reality Zone,0,6.5,85,1,52.53,Monday,28.74,286.15,True,2
V0440,adult,online,Roller Coaster,15.6,5.5,94,0,52.69,Monday,31.02,432.55,True,1
V0034,child,online,Mini Train,30.52,6.5,78,1,52.98,Monday,3.07,246.07,True,2
V0568,adult,online,Laser Maze,8.97,3.8,98,0,53.14,Monday,39.23,294.92,True,1
V0281,child,online,Carousel,28.21,4.3,90,0,53.51,Monday,19.54,364.68,True,1
V0082,adult,online,Observation Tower,16.45,5.0,77,1,53.86,Monday,6.71,172.56,True,2
V0223,adult,online,Haunted House,2.07,4.0,86,1,54.01,Monday,16.07,316.98,True,2
V0342,child,online,Mirror Maze,25.65,4.2,90,0,54.11,Monday,23.65,175.35,True,1
V0203,adult,online,Flying Chairs,26.88,4.0,85,1,54.14,Monday,14.98,154.21,True,2
V0666,adult,online,Virtual Reality Zone,0,6.5,100,0,54.3,Monday,46.97,255.33,True,1
V0023,adult,online,Fun House,29.92,4.5,65,2,54.4,Monday,2.36,120.8,True,3
V0370,child,online,Ball Pit,23.74,4.0,92,0,54.82,Monday,25.74,281.2,True,1
V0027,adult,ticket_office,Water Slide,15.4,4.5,64,1,54.96,Monday,21.35,155.51,True,2
V0050,child,online,Swing Ride,32.47,4.2,76,1,56.17,Monday,4.35,184.89,True,2
V0049,child,online,Bumper Cars,37.49,3.5,79,1,56.55,Monday,4.59,171.38,True,2
V0198,child,online,Pirate Ship,37.35,4.7,86,0,56.78,Monday,14.08,410.72,True,1
V0655,adult,online,4D Cinema,3.88,6.0,100,0,56.86,Monday,45.62,215.03,True,1
V0508,adult,online,Go Karts,15.94,5.0,94,0,57.22,Monday,35.45,207.26,True,1
V0412,adult,online,Ferris Wheel,21.57,6.0,92,0,58.0,Monday,29.3,201.65,True,1
V0487,adult,online,Laser Maze,13.44,3.8,89,1,58.34,Monday,34.01,210.73,True,2
V0020,child,ticket_office,Petting Zoo,39.49,5.5,86,0,58.63,Monday,12.79,175.73,True,1
V0369,child,online,Mirror Maze,28.29,4.2,90,0,58.84,Monday,25.82,280.0,True,1
V0239,child,online,Flying Chairs,21.07,4.0,83,1,58.86,Monday,16.87,182.66,True,2
V0580,adult,online,Drop Tower,11.75,5.8,96,0,58.98,Monday,40.13,177.22,True,1
V0352,child,online,Carousel,29.01,4.3,90,0,59.01,Monday,24.5,193.69,True,1
V0320,adult,online,Ferris Wheel,21.22,6.0,82,1,59.02,Monday,22.27,205.5,True,2
V0262,adult,online,Roller Coaster,19.63,5.5,81,1,59.07,Monday,17.85,150.37,True,2
V0093,adult,online,Haunted House,0.62,4.0,62,2,59.15,Monday,7.65,196.05,True,3
V0173,child,online,Ball Pit,23.01,4.0,83,1,59.69,Monday,12.53,177.53,True,2
V0006,adult,ticket_office,Observation Tower,18.05,5.0,69,3,59.75,Monday,6.18,313.42,True,4
V0284,child,online,Fun House,34.53,4.5,88,0,59.83,Monday,19.87,191.77,True,1
V0105,child,online,Mini Train,28.5,6.5,80,1,60.07,Monday,8.53,190.97,True,2
V0098,adult,online,Water Slide,18.26,4.5,77,1,60.13,Monday,7.7,169.74,True,2
V0764,adult,online,Virtual Reality Zone,0,6.5,100,0,60.46,Monday,53.36,199.94,True,1
V0349,child,online,Bumper Cars,32.69,3.5,88,0,60.73,Monday,23.86,189.55,True,1
V0026,child,ticket_office,Swing Ride,36.68,4.2,66,0,61.17,Monday,19.5,188.87,True,1
V0104,child,online,Pirate Ship,42.1,4.7,73,1,62.32,Monday,8.28,204.41,True,2
V0069,adult,online,Go Karts,21.69,5.0,70,1,63.3,Monday,6.26,173.02,True,2
V0238,adult,online,Laser Maze,13.28,3.8,83,1,63.63,Monday,16.88,193.19,True,2
V0666,adult,online,4D Cinema,1.56,6.0,95,1,63.73,Monday,46.97,255.33,True,2
V0491,adult,online,Flying Chairs,24.6,4.0,92,0,64.09,Monday,34.26,205.74,True,1
V0082,adult,online,Haunted House,2.29,4.0,68,2,64.11,Monday,6.71,172.56,True,3
V0380,child,online,Carousel,31.62,4.3,88,0,64.35,Monday,27.39,188.37,True,1
V0037,child,ticket_office,Mirror Maze,29.49,4.2,70,0,64.36,Monday,29.35,209.59,True,1
V0191,adult,online,Ferris Wheel,26.81,6.0,74,2,64.59,Monday,13.5,155.96,True,3
V0141,child,online,Ball Pit,25.16,4.0,74,1,64.9,Monday,10.23,202.22,True,2
V0056,child,online,Bumper Cars,36.77,3.5,70,1,65.11,Monday,5.74,197.16,True,2
V0517,adult,online,Observation Tower,23.46,5.0,92,0,65.35,Monday,36.29,210.98,True,1
V0187,child,online,Petting Zoo,45.08,5.5,82,0,65.43,Monday,13.55,215.33,True,1
V0662,adult,online,Drop Tower,12.16,5.8,96,0,65.56,Monday,46.82,269.54,True,1
V0401,adult,online,Roller Coaster,21.69,5.5,82,1,65.76,Monday,28.36,337.14,True,2
V0149,child,online,Fun House,38.51,4.5,74,1,65.79,Monday,11.23,199.39,True,2
V0605,adult,online,Water Slide,17.27,4.5,94,0,65.81,Monday,42.86,188.57,True,1
V0449,child,online,Ferris Wheel,27.76,6.0,90,0,66.04,Monday,31.26,213.71,True,1
V0088,child,online,Swing Ride,40.45,4.2,74,1,66.17,Monday,7.89,217.78,True,2
V0356,child,online,Mini Train,35.46,6.5,86,0,67.25,Monday,24.61,179.41,True,1
V0226,child,online,Pirate Ship,46.52,4.7,82,0,68.44,Monday,15.8,223.23,True,1
V0643,adult,online,Laser Maze,18.41,3.8,94,0,68.61,Monday,45.23,209.34,True,1
V0179,child,online,Flying Chairs,27.71,4.0,72,1,68.63,Monday,12.84,205.89,True,2
V0862,adult,online,Virtual Reality Zone,0,6.5,100,0,69.15,Monday,61.52,234.07,True,1
V0422,adult,online,Mirror Maze,34.73,4.2,88,0,69.52,Monday,29.64,289.58,True,1
V0414,child,online,Carousel,35.1,4.3,86,0,69.59,Monday,29.25,327.91,True,1
V0165,child,online,Ball Pit,23.1,4.0,71,1,69.61,Monday,12.01,148.92,True,2
V0112,child,online,Bumper Cars,38.43,3.5,69,1,69.72,Monday,9.11,245.1,True,2
V0402,adult,online,Go Karts,22.3,5.0,82,1,69.74,Monday,28.59,222.69,True,2
V0764,adult,online,Virtual Reality Zone,0,6.5,92,1,69.85,Monday,53.36,199.94,True,2
V0057,adult,ticket_office,Observation Tower,26.12,5.0,70,0,70.93,Monday,39.23,290.01,True,1
V0051,child,online,Fun House,43.31,4.5,75,1,70.96,Monday,5.02,230.76,True,2
V0858,adult,online,4D Cinema,2.65,6.0,100,0,71.21,Monday,61.07,196.29,True,1
V0003,adult,ticket_office,Water Slide,15.39,4.5,44,4,71.41,Monday,3.92,114.08,True,5
V0363,adult,online,Swing Ride,40.61,4.2,84,0,71.59,Monday,25.56,228.26,True,1
V0194,adult,online,Ferris Wheel,32.82,6.0,71,2,71.77,Monday,14.31,121.21,True,3
V0773,adult,online,Roller Coaster,11.15,5.5,96,0,71.94,Monday,54.6,462.56,True,1
V0539,adult,online,Drop Tower,17.22,5.8,82,1,71.97,Monday,37.42,240.52,True,2
V0231,child,online,Petting Zoo,49.08,5.5,82,0,72.27,Monday,16.35,236.23,True,1
V0021,adult,ticket_office,Laser Maze,22.65,3.8,68,2,73.06,Monday,14.06,149.56,True,3
V0468,child,online,Ferris Wheel,32.82,6.0,88,0,73.11,Monday,33.21,213.14,True,1
V0531,child,online,Flying Chairs,31.96,4.0,88,0,73.21,Monday,36.67,228.85,True,1
V0375,adult,online,Bumper Cars,42.99,3.5,84,0,73.78,Monday,26.73,202.7,True,1
V0040,adult,ticket_office,Mirror Maze,39.04,4.2,66,0,74.34,Monday,30.48,243.13,True,1
V0639,child,online,Ball Pit,25.13,4.0,90,0,74.5,Monday,44.48,212.28,True,1
V0235,adult,online,Pirate Ship,52.0,4.7,80,0,74.54,Monday,16.44,198.14,True,1
V0038,child,ticket_office,Carousel,39.5,4.3,66,0,74.57,Monday,30.09,247.39,True,1
V0374,child,online,Mini Train,40.85,6.5,84,0,74.76,Monday,26.4,241.89,True,1
V0411,adult,online,Go Karts,16.21,5.0,69,2,75.27,Monday,28.74,286.15,True,3
V0328,adult,online,Fun House,48.04,4.5,82,0,76.32,Monday,22.92,194.49,True,1
V1006,adult,online,Haunted House,0,4.0,100,0,76.49,Monday,71.94,294.5,True,1
V0809,adult,online,Water Slide,13.81,4.5,96,0,76.84,Monday,57.6,246.26,True,1
V0103,adult,online,Observation Tower,30.15,5.0,73,1,76.88,Monday,8.74,310.65,True,2
V0662,adult,online,Virtual Reality Zone,3.3,6.5,83,1,76.88,Monday,46.82,269.54,True,2
V0666,adult,online,Virtual Reality Zone,3.42,6.5,90,2,77.02,Monday,46.97,255.33,True,3
V0032,adult,online,Swing Ride,45.91,4.2,68,1,77.21,Monday,2.99,142.61,True,2
V0664,adult,online,Laser Maze,26.27,3.8,90,0,77.52,Monday,46.79,176.97,True,1
V0091,adult,ticket_office,4D Cinema,1.41,6.0,80,0,77.82,Monday,69.8,208.5,True,1
V0152,child,online,Bumper Cars,45.8,3.5,69,1,78.0,Monday,11.56,263.32,True,2
V0316,adult,online,Petting Zoo,50.16,5.5,80,0,78.58,Monday,22.1,214.24,True,1
V0376,adult,online,Flying Chairs,36.06,4.0,73,1,78.61,Monday,26.67,251.33,True,2
V0643,adult,online,Roller Coaster,2.33,5.5,82,1,78.79,Monday,45.23,209.34,True,2
V0693,adult,online,Drop Tower,23.43,5.8,92,0,79.06,Monday,48.53,216.86,True,1
V0493,child,online,Ferris Wheel,37.18,6.0,86,0,79.23,Monday,34.59,254.16,True,1
V0158,child,online,Mirror Maze,43.43,4.2,66,1,79.37,Monday,11.91,261.06,True,2
V0015,child,ticket_office,Ball Pit,28.67,4.0,66,1,79.66,Monday,8.5,275.69,True,2
V0270,adult,online,Ferris Wheel,35.61,6.0,69,1,79.78,Monday,18.62,268.3,True,2
V0250,child,online,Carousel,41.63,4.3,69,1,79.79,Monday,17.74,342.49,True,2
V0273,adult,online,Pirate Ship,55.6,4.7,78,0,80.06,Monday,18.93,322.74,True,1
V0786,adult,online,Go Karts,19.54,5.0,94,0,80.85,Monday,55.73,229.49,True,1
V0031,adult,ticket_office,Fun House,52.66,4.5,60,0,81.49,Monday,23.66,260.03,True,1
V0012,child,online,Mini Train,47.36,6.5,55,2,82.26,Monday,1.91,121.93,True,3
V0201,child,online,Bumper Cars,49.4,3.5,74,1,82.29,Monday,14.68,217.07,True,2
V0400,child,online,Swing Ride,49.04,4.2,82,0,82.44,Monday,28.17,223.71,True,1
V0867,adult,online,Water Slide,14.91,4.5,96,0,82.48,Monday,61.93,221.88,True,1
V0191,adult,online,Laser Maze,10.93,3.8,62,3,82.53,Monday,13.5,155.96,True,4
V0559,adult,online,Observation Tower,25.68,5.0,78,1,82.92,Monday,39.12,233.13,True,2
V0575,adult,online,Flying Chairs,39.04,4.0,86,0,83.71,Monday,39.56,286.5,True,1
V0662,adult,online,Haunted House,0,4.0,71,2,83.73,Monday,46.82,269.54,True,3
V0938,adult,online,Virtual Reality Zone,9.33,6.5,98,0,84.05,Monday,67.56,366.83,True,1
V0057,adult,ticket_office,Virtual Reality Zone,5.09,6.5,58,1,84.19,Monday,39.23,290.01,True,2
V0422,adult,online,4D Cinema,7.3,6.0,73,1,84.43,Monday,29.64,289.58,True,2
V0495,child,online,Carousel,44.71,4.3,84,0,84.59,Monday,35.08,362.39,True,1
V0673,child,online,Ball Pit,32.27,4.0,88,0,84.94,Monday,47.38,296.67,True,1
V0444,child,online,Mirror Maze,48.06,4.2,82,0,85.0,Monday,31.31,284.69,True,1
V0336,child,online,Petting Zoo,55.81,5.5,78,0,85.04,Monday,22.76,243.22,True,1
V0862,adult,online,Roller Coaster,8.64,5.5,88,1,85.43,Monday,61.52,234.07,True,2
V0278,child,online,Pirate Ship,60.8,4.7,76,0,85.57,Monday,19.26,294.71,True,1
V0070,adult,ticket_office,Drop Tower,29.83,5.8,70,0,85.66,Monday,49.22,346.86,True,1
V0553,child,online,Ferris Wheel,40.8,6.0,84,0,85.97,Monday,38.44,306.15,True,1
V0350,adult,online,Fun House,57.25,4.5,78,0,86.56,Monday,24.24,25.9,True,1
V0427,child,online,Bumper Cars,52.4,3.5,80,0,86.98,Monday,29.9,265.02,True,1
V0587,adult,online,Ferris Wheel,39.34,6.0,86,0,87.24,Monday,40.44,469.45,True,1
V0803,adult,online,Go Karts,24.02,5.0,92,0,87.27,Monday,56.83,316.59,True,1
V0235,adult,online,Water Slide,6.94,4.5,73,1,87.65,Monday,16.44,198.14,True,2
V0411,adult,online,Laser Maze,5.26,3.8,61,3,87.73,Monday,28.74,286.15,True,4
V0045,adult,online,Swing Ride,52.28,4.2,68,1,88.12,Monday,3.9,310.56,True,2
V0127,adult,online,Observation Tower,30.42,5.0,65,2,88.92,Monday,10.45,140.57,True,3
V0316,adult,online,Haunted House,4.15,4.0,74,1,89.0,Monday,22.1,214.24,True,2
V0213,child,online,Flying Chairs,42.42,4.0,66,1,89.12,Monday,15.46,231.95,True,2
V0758,child,online,Ball Pit,32.76,4.0,88,0,89.52,Monday,52.18,328.7,True,1
V0393,child,online,Mini Train,54.5,6.5,80,0,89.53,Monday,27.76,210.87,True,1
V0054,child,ticket_office,Carousel,46.3,4.3,62,0,89.86,Monday,38.29,278.9,True,1
V0463,child,online,Mirror Maze,52.46,4.2,80,0,90.23,Monday,32.54,267.15,True,1
V1192,adult,online,4D Cinema,0.89,6.0,100,0,91.02,Monday,83.54,305.26,True,1
V0285,adult,online,Pirate Ship,66.06,4.7,74,0,91.04,Monday,19.51,218.7,True,1
V1013,adult,online,Virtual Reality Zone,11.68,6.5,96,0,91.16,Monday,72.36,238.86,True,1
V1026,adult,online,Virtual Reality Zone,10.38,6.5,96,0,91.67,Monday,73.81,292.01,True,1
